iso_code	country	ghg	co2	methane	nitrous_oxide	population	gdp	energy_consumption	electricity_generation	renewable_energy	hydropower	wind	biomass	solar	geothermal	
BEL	Belgium	107.61	100.5668	8.602	4.744	11220585.2	429033136916	698.171	85520	14168	1489	5436	5276	3086	0	
BLZ	Belize	4.92	0.5248	1.05	0.318	353279.8	-9999	2.9138	-9999	383.1	260.5	0	117.4	5.3	0	
BEN	Benin	24.842	5.1382	5.4	2.748	10293744.2	20923597585	20.2502	355	11.2	1	0	0	10.2	0	
BTN	Bhutan	-1.778	0.939	0.942	0.208	719092.2	-9999	23.449	-9999	7962	7959	1.8	0	0.7	0	
BOL	Bolivia	141.464	20.3326	27.81	9.89	10705624.6	63561633309	85.6246	9409	1937	1720	34.9	176.2	5.7	0	
BIH	Bosnia_and_Herzegovina	26.18	20.6882	3.618	1.284	3489060.2	36833409266	79.3624	17767	5591	5587	0.8	36.1	13.4	0	
BWA	Botswana	67.336	5.8698	15.19	4.934	2094272.4	31335551594	17.9294	2688	4.3	0	0	0	4.3	0	
BRA	Brazil	1384.854	522.1458	432.892	176.91	202744351	3084649530004	3354.011	578889	465579	380911	33489	51040	138.8	0	
BRN	Brunei	17.192	8.109	9.596	0.152	409578.8	-9999	45.2922	4270	1.1	0	0	0	1.1	0	
BGR	Bulgaria	45.152	46.0032	7.454	3.812	7244286.8	117433196292	210.0192	45277	7106	4568	1425	353	1386	0	
BFA	Burkina_Faso	36.576	3.0144	14.584	9.33	17597407.6	25274643525	12.7366	-9999	157.1	139.5	0	2.3	15.3	0	
BDI	Burundi	7.56	0.402	2.016	1.938	9855726.2	7350372200	1.5422	-9999	284	271.9	0	6.6	5.4	0	
KHM	Cambodia	60.07	7.3166	23.546	6.136	15273803	45355447223	32.7402	5594	2641	2568	0.3	48.3	24.7	0	
CMR	Cameroon	205.402	6.728	17.112	63.34	22693869	63484859379	41.6444	8367	4385	4372.7	0	0	12.4	0	
CAN	Canada	821.902	569.2306	120.248	48.622	35658502.8	1539642705415	3850.7008	667438	433597	387208	30766	12685	3031	0	
CPV	Cape_Verde	0.694	0.5028	0.124	0.08	518227.2	3388582800	3.686	-9999	74.7	0	69.1	0	5.6	0	
CAF	Central_African_Republic	69.032	0.1622	23.87	31.422	4475876.2	3374454800	2.119	-9999	171.7	171.3	0	0	0.4	0	
TCD	Chad	74.148	0.794	33.162	15.012	13668274.4	28265763320	1.3908	-9999	9.2	0	8.9	0	0.3	0	
CHL	Chile	-0.742	81.057	13.618	7.088	17781853.4	376888280132	416.3396	79308	34319	23274	2449	5957	2639	0	
CHN	China	11486.116	9856.5626	1222.328	536.374	1399288186	15969965767177	34163.6698	7142200	1739400	1153400	357700	111100	117200	143.5	
COL	Colombia	201.386	88.2122	73.152	20.762	47046926.8	591432536577	468.234	76904	48339	46788	50.9	1420	80.2	0	
COM	Comoros	0.562	0.1788	0.268	0.052	759559.6	1254107200	0.7398	-9999	5	5	0	0	0	0	
COG	Congo	46.004	3.2818	11.38	3.588	4741401.6	29094037710	28.4422	1753	1164	1163.7	0	0	0.6	0	
CRI	Costa_Rica	3.668	7.5938	4.732	1.884	4794529	63556106849	58.9236	10881	10630	8026	1147	84.1	32.8	1340	
CIV	Cote_d'Ivoire	28.31	9.7614	6.85	3.396	22666248	75990339303	-9999	10253	1534	1529	0	0	5.1	0	
HRV	Croatia	19.03	18.2214	3.696	1.86	4253893	78268132762	91.6556	12820	8364	7058	1014	431	66	0	
CUB	Cuba	30.348	28.5394	13.236	3.814	11301325.6	85406523200	129.5098	20458	914.5	64.2	20.9	686.3	143	0	
CYP	Cyprus	7.864	7.0272	0.7	0.36	1152477	25227742754	29.739	4887	424	0	226	52	146	0	
CZE	Czechia	111.3	106.692	12.856	5.286	10595838.6	287637516389	476.876	83301	9384	3202	497	4756	2131	0	
COD	Democratic_Republic_of_Congo	220.236	3.0664	49.06	20.214	73836132	65846881551	39.1904	9135	9224	9221	0	0	3.2	0	
DNK	Denmark	48.14	38.2688	7.274	4.946	5662660.2	249805407778	199.838	30522	18451	19	12771	4917	744	0	
DJI	Djibouti	1.762	0.4558	0.676	0.266	898650.8	2305718000	3.775	-9999	0.5	0	0	0	0.5	0	
DMA	Dominica	0.342	0.1732	0.044	0.02	71109.2	680396200	0.8088	-9999	37.3	36.4	0.6	0	0.4	0	
DOM	Dominican_Republic	26.554	22.4926	8.932	3.048	10164747.4	130388671978	96.3252	19414	2021	1519	322.8	104.6	74.6	0	
ECU	Ecuador	99.922	39.9972	21.052	5.07	15967308.4	167902673772	180.9914	27314	16445	15833.8	84	489.5	38.2	0	
EGY	Egypt	299.804	218.125	55.886	23.128	90428236	1019720385710	985.7224	194327	16023	13545	2058	315.2	104.6	0	
SLV	El_Salvador	13.038	6.4076	4.132	1.304	6296076	49141805387	38.0724	5984	3633	1342.6	0	634.6	79.8	1576	
GNQ	Equatorial_Guinea	24.958	10.8308	14.212	0.04	1122726.4	29144125000	18.1066	-9999	127	127	0	0	0	0	
ERI	Eritrea	8.036	0.6272	3.614	3.022	3312475.4	-9999	2.3926	421	3.3	0	2	0	1.3	0	
EST	Estonia	20.978	17.979	1.138	1.35	1318068.2	30887095517	73.383	12176	1524	35	594	885	10.1	0	
